年份,学校名称_链接,学校名称,院系名称_链接,院系名称,专业代码,专业名称_链接,专业名称,总分,政治__管综,外语,业务课_一,业务课_二
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,080104,http://yz.kaoyan365.cn/school/pku/zhuanye/87676.html,工程力学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,080100,http://yz.kaoyan365.cn/school/pku/zhuanye/87680.html,能源与资源工程,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,081202,http://yz.kaoyan365.cn/school/pku/zhuanye/87671.html,计算机软件与理论,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,080100,http://yz.kaoyan365.cn/school/pku/zhuanye/87679.html,先进材料与力学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,081201,http://yz.kaoyan365.cn/school/pku/zhuanye/87670.html,计算机系统结构,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,081002,http://yz.kaoyan365.cn/school/pku/zhuanye/87669.html,信号与信息处理,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/36/,软件与微电子学院,125600,http://yz.kaoyan365.cn/school/pku/zhuanye/87662.html,工程管理硕士,170,-,42,84,-
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/36/,软件与微电子学院,083500,http://yz.kaoyan365.cn/school/pku/zhuanye/87655.html,软件工程,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,080904,http://yz.kaoyan365.cn/school/pku/zhuanye/87665.html,电磁场与微波技术,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,080901,http://yz.kaoyan365.cn/school/pku/zhuanye/87663.html,物理电子学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,081001,http://yz.kaoyan365.cn/school/pku/zhuanye/87668.html,通信与信息系统,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,0809Z2,http://yz.kaoyan365.cn/school/pku/zhuanye/87667.html,量子电子学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/35/,信息科学技术学院,080903,http://yz.kaoyan365.cn/school/pku/zhuanye/87666.html,微电子学与固体电子学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/36/,软件与微电子学院,085237,http://yz.kaoyan365.cn/school/pku/zhuanye/87660.html,工业设计工程,320,50,50,90,90
